trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.4, 'e': 0.9870674715819652}",20,10,-5.108762099724629,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.986906672720914}",25,0,-107.93587436200586,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
163,False,"{'a': 0.4, 'e': 0.9867448869532726}",25,0,-80.71181842192102,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
164,False,"{'a': 0.4, 'e': 0.9865821144408262}",20,14,-2.090784741223625,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.9864183553463477}",20,0,-76.59500371358264,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.4, 'e': 0.986253609833596}",30,9,-110.77765189422033,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 2}",1
167,False,"{'a': 0.4, 'e': 0.9860878780673167}",25,0,-21.067004229160677,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.4, 'e': 0.9859211602132415}",25,0,-130.12308178855213,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
169,False,"{'a': 0.4, 'e': 0.9857534564380882}",20,0,-35.17639257182508,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.4, 'e': 0.9855847669095608}",25,0,-101.80403314883979,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
171,False,"{'a': 0.4, 'e': 0.9854150917963483}",20,0,-53.933015771331846,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
172,False,"{'a': 0.4, 'e': 0.9852444312681263}",30,0,-126.0302652174443,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
173,False,"{'a': 0.4, 'e': 0.9850727854955552}",20,0,-105.51822305517251,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
174,False,"{'a': 0.4, 'e': 0.9849001546502806}",25,0,-78.99167170445303,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
175,False,"{'a': 0.4, 'e': 0.9847265389049334}",20,0,-150.99243595393833,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
176,False,"{'a': 0.4, 'e': 0.9845519384331295}",20,0,-94.59040796899832,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
